CHEQUEESPECIAL;USO_CREDITO;HISTORICO_CREDITO;PROPOSITO;BALANCO_ATUAL;BALANCO_MEDIO_CREDITO;EMPREGADO;LOCAL;ESTADOCIVIL;OUTRASFUNCOES;RESIDENCIADESDE;TIPOSBENS;IDADE;OUTROSPLANOSPGTO;RESIDENCIA;CREDITOSEXISTENTES;EMPREGO;DEPENDENTES;TRABAESTRANGEIRO;CLASSE
<0;6;crítica / outros de crédito existente;Computador/TV;1169;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;bens imóveis;67;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;48;existente e pago;Computador/TV;5951;<100;1<=X<4;2;fem div/cas;nenhum;2;bens imóveis;22;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;educação;2096;<100;4<=X<7;2;masculino solteiro;nenhum;3;bens imóveis;49;nenhum;própria;1;não especializado;2;sim;bom
<0;42;existente e pago;mobilia/equipamento;7882;<100;4<=X<7;2;masculino solteiro;fiador;4;seguro de vida;45;nenhum;gratuitamente;1;especializado;2;sim;bom
<0;24;atrasos anteriores;carro novo;4870;<100;1<=X<4;3;masculino solteiro;nenhum;4;nenhuma conhecida;53;nenhum;gratuitamente;2;especializado;2;sim;ruim
sem cheque;36;existente e pago;educação;9055;nenhuma economia conhecida;1<=X<4;2;masculino solteiro;nenhum;4;nenhuma conhecida;35;nenhum;gratuitamente;1;não especializado;2;sim;bom
sem cheque;24;existente e pago;mobilia/equipamento;2835;500<=X<1000;>=7;3;masculino solteiro;nenhum;4;seguro de vida;53;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;36;existente e pago;carro usado;6948;<100;1<=X<4;2;masculino solteiro;nenhum;2;carro;35;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;3059;>=1000;4<=X<7;2;masculino div/sep;nenhum;4;bens imóveis;61;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;30;crítica / outros de crédito existente;carro novo;5234;<100;desempregado;4;masculino casado/viuvo;nenhum;2;carro;28;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;ruim
0<=X<200;12;existente e pago;carro novo;1295;<100;<1;3;fem div/cas;nenhum;1;carro;25;nenhum;alugada;1;especializado;1;sim;ruim
<0;48;existente e pago;negócios;4308;<100;<1;3;fem div/cas;nenhum;4;seguro de vida;24;nenhum;alugada;1;especializado;1;sim;ruim
0<=X<200;12;existente e pago;Computador/TV;1567;<100;1<=X<4;1;fem div/cas;nenhum;1;carro;22;nenhum;própria;1;especializado;1;sim;bom
<0;24;crítica / outros de crédito existente;carro novo;1199;<100;>=7;4;masculino solteiro;nenhum;4;carro;60;nenhum;própria;2;não especializado;1;sim;ruim
<0;15;existente e pago;carro novo;1403;<100;1<=X<4;2;fem div/cas;nenhum;4;carro;28;nenhum;alugada;1;especializado;1;sim;bom
